DATAFLOW,LAST UPDATE,freq,indic,s_adj,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2020-10,95.3,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2020-11,89.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2020-12,94.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2021-01,93.8,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2021-02,94.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2021-03,98.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2021-04,101.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2021-05,108.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2021-06,113.4,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2021-07,118.1,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2021-08,114.4,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2021-09,113.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2021-10,114.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2021-11,116.8,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2021-12,114.1,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2022-01,111.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2022-02,113.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2022-03,104.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2022-04,103.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2022-05,105.1,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2022-06,103.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2022-07,103.3,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2022-08,101.4,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2022-09,96.8,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2022-10,96.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2022-11,95.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2022-12,94.8,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2023-01,98.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2023-02,97.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2023-03,97.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2023-04,93.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2023-05,96.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2023-06,97.8,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2023-07,95.3,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2023-08,93.8,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2023-09,96.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2023-10,94.3,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2023-11,96.2,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2023-12,95.8,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2024-01,98.1,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2024-02,97.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2024-03,101.3,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2024-04,95.7,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2024-05,99.1,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2024-06,98.2,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2024-07,95.3,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2024-08,99.1,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2024-09,98.2,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2024-10,93.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2024-11,96.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2024-12,93.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2025-01,96.1,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2025-02,98.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2025-03,96.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2025-04,96.9,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2025-05,93.4,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2025-06,90.2,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2025-07,92.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2025-08,92.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2025-09,93.1,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2025-10,95.0,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2025-11,95.5,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2025-12,94.6,,
ESTAT:EI_BSSI_M_R2(1.0),29/01/26 11:00:00,Monthly,Economic sentiment indicator,"Seasonally adjusted data, not calendar adjusted data",France,2026-01,100.4,,
